雪舟についてこんな伝説が残っている。	There is an interesting episode about Sesshu.
宝福寺に入った幼い日の雪舟が、絵ばかり好んで経を読もうとしないので、寺の僧は雪舟を仏堂の柱にしばりつけてしまいました。	A young Sesshu who entered Hofuku-ji Temple only liked pictures and did not want to read sutras; so the monks of the temple tied him to a pillar in the building enshrining a Buddhist statue.
しかし床に落ちた涙を足の親指につけ、床にねずみを描いたところ、僧はその見事さに感心し、雪舟が絵を描くことを許しました。	However, when the monks saw that he drew a rat with his tears that fell on the floor by using his big toe, they were impressed so they allowed him to draw pictures.
これは雪舟について最もよく知られた話であると思われる。	This is thought to be the most well known story about Sesshu.
初出は江戸時代に狩野永納が編纂した『本朝画史』（1693年刊）である。	The story first appeared in "Honcho Gashi" compiled by Eino KANO (published in 1693, the Edo period).
雪舟の神格化は江戸時代から始まった。	Sesshu started to be deified in the Edo period.
狩野派が当時画壇を支配していたが、雪舟を師と仰ぎ、諸大名が雪舟の作品を求めたからであるとされる。	It is thought to be because the Kano School that ruled painting circles at the time venerated him as a master, and feudal lords wanted to have Sesshu's artwork.
そのために雪舟作とされる作品が増えたと言われる。	It is said that this is why the number of artworks attributed to Sesshu increased.
雪舟の人気を反映して、『信仰祇園祭礼記』（人形浄瑠璃・歌舞伎作品。	Reflecting Sesshu's popularity, a Japanese puppet drama/Kabuki work entitled "The Gion Religious Festival" was created.
宝暦7年12月（1758年1月）初演。	The drama was first performed in January 1758.
雪舟の孫娘、雪姫が活躍する「金閣寺」の場が有名）のような作品が上演された。	The scene of Kinkaku-ji Temple, where Sesshu's granddaughter, Yukihime, takes an active role, is famous) and similar works were performed.
日本文化の一つを生んだ雪舟は、今や日本を代表する歴史人物の一人となっている。	Today, Sesshu who gave birth to one of Japanese cultures is a leading historical figure of this country.
天橋立図（京都国立博物館）	View of Amanohashidate (Kyoto National Museum)
四季山水図巻（山水長巻）（毛利博物館、1486年（文明18年））	4 Seasons Landscape Scroll (Long Landscape Scroll) (Mohri Museum, painted in 1486)
秋冬山水図（東京国立博物館）	Fall and Winter Landscape (Tokyo National Museum)
破墨山水図（東京国立博物館、1495年（明応4年））	Broken Ink Landscape (Tokyo National Museum, painted in 1495)
慧可断臂図（愛知県・斉年寺、1496年（明応5年））	Portrait of Ekadanpi (Seinen-ji Temple in Aichi Prefecture, painted in 1496)
山水図（個人蔵）	Landscape (Private Collection)
四季山水図（東京国立博物館）	4 Seasons Landscape (Tokyo National Museum)
四季山水図（石橋美術館）	4 Seasons Landscape (Ishibashi Museum of Art)
四季山水図巻（山水小巻）（京都国立博物館）	4 Seasons Landscape Scroll (Small Landscape Scroll) (Kyoto National Museum)
倣高克恭山水図巻（山口県立美術館）	Landscape Scroll after Kegong GAO (Yamaguchi Prefectural Museum of Art)
倣夏珪山水図（個人蔵）	Landscape after Gui XIA (Private Collection)
倣李唐牧牛図（山口県立美術館）	Oxherd after Tang LI (Yamaguchi Prefectural Museum of Art)
倣梁楷黄初平図（京都国立博物館）	Huang Chuping after Kai LIANG (Kyoto National Museum)
倣玉澗山水図（岡山県立美術館）	Landscape after Yujian (Okayama Prefectural Museum of Art)
山水図（香雪美術館）	Landscape (Kosetsu Museum of Art)
四季花鳥図屏風（京都国立博物館）	Folding Screen of Birds and Flowers of the 4 Seasons (Kyoto National Museum)
益田兼堯像（益田市立雪舟の郷記念館）	Portrait of Kanetaka MASUDA (Masuda Municipal Sesshu-no-Sato Memorial Hall)
毘沙門天図（個人蔵）	Bishamonten (Private Collection)
山水図（京都国立博物館）	Landscape (Kyoto National Museum)
溌墨山水図（正木美術館）	Splashed Ink Landscape (Masaki Museum of Art)
※真筆の可能性の高いものを挙げた。	*The works considered to be authentic are listed.
『没後500年特別展「雪舟」』（図録、東京国立博物館、京都国立博物館、2002年）	Special Exhibition in Commemoration of 500th Anniversary of Death: Sesshu (Illustrated Collection, Tokyo National Museum, Kyoto National Museum, 2002)
『画聖雪舟』（沼田頼輔、『論創叢書』1、論創社、2002年3月、ISBN4-8460-0241-1）	Master Painter Sesshu (Raisuke NUMATA, "Ronso Series" 1, Ronsosha, March 2002, ISBN 4-8460-0241-1)
『雪舟応援団』（山下裕二、赤瀬川原平）	Fans of Sesshu (Yuji YAMASHITA, Genpei AKASEGAWA)
一休宗純（いっきゅうそうじゅん）は、室町時代の臨済宗臨済宗大徳寺派の禅僧である。	Soujun IKKYUU was a Zen monk in the Daitokuji branch of the Rinzai sect, during the Muromachi period.
説話のモデルとして知られる。	He is known as a character in stories.
「一休さんの頓知咄」については『一休咄』の項目（このページにも若干の記述あり）を、テレビアニメ『一休さん』については「一休さん」の項目を参照。	For IKKYUU's Witty Sayings refer to the section on "IKYUU's Sayings" (also some on this page); for the TV cartoon "Ikkyuu-san", refer to the section on "Ikyuu-san".
京都の生まれで後小松天皇の落胤という。	Born in Kyoto, said to be the illegitimate child of Emperor Gokomatsu.
菅原和長の日記『東坊城和長卿記』明応3年（1494年）八月一日の条に、「秘伝に云う、一休和尚は後小松院の落胤の皇子なり。	In Kazunaga SUGAWARA's diary, "Higashiboujou Kazunaga Kyouki", he wrote on August 1st of 1494 that "it is said in secret that the monk IKKYUU is a prince, the illegitimate child of Gokomatsu.
世に之を知る人無し」とある。	Nobody in the world knows this."
幼名は、後世史料によると千菊丸。	According to later historical documents, his childhood name was Sengikumaru.
長じて周建の名で呼ばれ、狂雲子、瞎驢（かつろ）、夢閨（むけい）などと号した。	Called Shuuken for a long time, he also went by Kyouunshi, Katsuro, and Mukei.
戒名は宗純で、宗順とも書く。	Soujun was his Kaimyo (posthumous Buddhist name), also written as Soujun.
一休は道号である。	IKKYUU was his Dougou (monk's name).
（戒名と道号については「戒名」の項目を参照のこと。)	(Refer to the section on "Kaimyo" for Kaimyo and Dougou.)
6歳で京都の安国寺の像外集鑑に入門·受戒し、周建と名付けられる。	He took orders under Shuukan SHOUGE at Kyoto's Ankokuji at the age of 6, and was named Shuuken.
早くから詩才に優れ、13歳の時に作った漢詩「長門春草」、15歳の時に作った漢詩「春衣宿花」は洛中の評判となり賞賛された。	He quickly developed a talent for poetry; and his poems "Choumonshunsou", which he wrote at 13, and "Shunishukka", which he wrote at 15 years of age, were praised throughout Kyoto.
応永17年（1410年）、17歳で謙翁宗為（けんおうそうい）の弟子となり、戒名を宗純と改める。	In 1410, at the age of 17, he became a student of Soui KENOU and changed his name to Soujun.
謙翁は応永21年（1414年）に没した。	KENOU died in 1414.
この時、一休は師の遷化によるものかは断定できないが、自殺未遂を起こしている。	Whether it was because of the death of his teacher is difficult to determine, but IKKYUU attempted suicide around that time.
応永22年（1415年）に京都の大徳寺の高僧、華叟宗曇（かそうそうどん）の弟子となる。	In 1415 he became a student of high priest Soudon KASOU at Kyoto's Daitokuji.
『洞山三頓の棒』という公案に対し、「有ろじより無ろじへ帰る一休み雨ふらば降れ風ふかば吹け」と答えたことから、華叟より一休の道号を授かる。	He received the name IKKYUU from KASOU when he answered the Koan called Touzan's 3 Blows by saying "the treacherous path returns to the safe path; take a rest and let the rain fall, let the wind blow."
なお「有ろじ（有漏路）」とは迷い（煩悩）の世界、「無ろじ（無漏路）」とは悟り（仏）の世界を指す。	The "treacherous path" refers to the world of confusion (distracting thoughts), while the "safe path" refers to the world of enlightenment (Buddha).
応永27年（1420年）のある夜、カラスの鳴き声を聞いて、俄かに大悟する。	One night in 1420 he heard the calling of a crow, and was immediately enlightened.
華叟は印可状を与えようとするが、一休は辞退した。	KASOU tried to give him a certificate of dharma transmission, but IKKYUU refused it.
華叟はばか者と笑いながら送り出したという。	It is said that KASOU laughed and called him a fool as he sent him away.
以後は詩·狂歌·書画と風狂の生活を送った。	From then on he lived a crazy life of poetry, writing, and painting.
正長元年（1428年）、称光天皇が男子を残さず崩御し、伏見宮家より後花園天皇が迎えられて即位した。	In 1428 Emperor Shoukou died without leaving behind a son; and Emperor Gohanazono from the Fushiminomiya family was enthroned.
後花園天皇の即位には一休の推挙があったという。	It is said that Emperor Gohanazono's enthronement was based on a recommendation from IKKYUU.
『東海一休和尚年譜』より。	From "A chronological history of the Priest Ikkyuu of Toukai".
ただし、今泉淑夫は後花園天皇の即位は幕府の賛成によるもので一休の推挙は無関係だとしている。	Actually, Yoshio IMAIZUMI says that Emperor Gohanazono's enthronement had the support of the shogunate, and had nothing to do with IKKYUU's recommendation.
応仁の乱後の文明6年（1474年）、後土御門天皇の勅命により大徳寺の住持（第47代）に任ぜられ、寺には住まなかったが、再興に尽力した。	After the Onin War in 1474, at the order of Emperor Gotsuchimikado he was installed as chief priest (the 47th) of Daitokuji; and although he did not live in the temple, he put a lot of effort into its restoration.
塔頭の真珠庵は一休を開祖として創建された。	The subsidiary temple Shinjuan was built with IKKYUU as its founder.
天皇に親しく接せられ、民衆にも慕われたという。	He was close to the emperor, and was also loved by the people.
1481年、88歳で酬恩庵に没した。	He died at Shuuonan in 1481, at the age of 88.
臨終に際し、「死にとうない」と述べたと伝わる。	It is reported that on his deathbed he said, "I don't want to die."
酬恩庵は通称「一休寺」と言い、京都府京田辺市の薪地区にある。	Shuuonan, commonly called "Ikkyuuji", is located in the Takigi area of Kyoutanabe City in Kyoto.
康正2年1456年に荒廃していた妙勝寺を一休が再興したものである。	The ruined Myoushouji temple was restored by IKKYUU in 1456.
墓は酬恩庵にあり、「慈揚塔」と呼ばれるが、宮内庁が御廟所として管理している陵墓である宮内庁では落胤説にもとづいて「後小松天皇皇子宗純王墓」としている。	His grave is at Shuuonan and is called Jiyoutou, but is managed by the Imperial Household Agency as an imperial tomb, calling it the grave of prince Soujun, son of Emperor Gokomatsu, based on the stories about his lineage.
ため、一般の立ち入り・参拝は不可能である。	For that reason it is not open to the public.
自由奔放で、奇行が多かったと言われる。	Free and uninhibited, he was said to have many eccentricities.
以下のような逸話が伝わっている。	The following anecdotes have been passed on.
印可の証明書や由来ある文書を火中に投じた。	He threw his certificate of dharma transmission and other valuable texts into a fire.
男色はもとより、仏教の戒律で禁じられていた飲酒·肉食や女犯を行い、盲目の「森侍者」（しんじしゃ）という側女がいたり、「岐翁紹禎」という実子の弟子がいた。	Besides homosexuality, he did things that are forbidden in Buddhism, such as drinking liquor, eating meat, and cavorting with women, had a mistress called Shinjisha, and one of his students was a son of his named Shoutei KIOU.
朱鞘の木刀を差すなど、風変わりな格好をして街を歩きまわった。	He walked about town in peculiar attire, such as with a wooden sword in a red lacquer sheath.
親交のあった本願寺門主蓮如の留守中に居室に上がりこみ、蓮如の持念仏の阿弥陀如来像を枕に昼寝をした。	One day while Rennyo, the master of Honganji and also his friend, was out, he went into his room and took a nap on Rennyo's statue of the Amitabha.
その時に帰宅した蓮如上人は『俺の商売道具に何をする』と言う発言を残している。	Upon returning home to see this, Rennyo said, "what are you doing to my tools of trades?"
正月に、杖の頭にドクロをしつらえ、「ご用心、ご用心」と叫びながら練り歩いた。	At the new year, he stuck a skull on top of a cane, and walked around yelling, "beware, beware."
こうした一見奇抜な言動は、中国臨済宗の高僧として知られる普化など唐代の禅者と通じるものがあり、教義の面では禅宗の風狂の精神の表れとされる。	This kind of action seems strange at first, but has something in common with such famous Tang dynasty Chinese Rinzai priests as Fuke, and as a teaching style is an expression of the eccentric spirit of Zen.
と同時に、こうした行動を通して、仏教の権威や形骸化を批判・風刺し、仏教の伝統化や風化に警鐘を鳴らすものでもあった。	At the same time, it was also a way to criticize and satirize the decline Buddhism, and the growth of an authoritarian strain, and to raise an alarm at the wearing down and ossification of Buddhism.
彼の禅風は、直筆の法語として「七仏通誡偈」が残されていることからも伺える。	This can also be understood from the sermon, "7 Buddhas Tsuukaige", which he wrote himself.
この戒律や形式にとらわれない人間臭い生き方は民衆の共感を呼び、江戸時代に彼をモデルとして一休咄に代表される頓知咄（とんちばなし）を生み出す元となった。	This kind of starkly human lifestyle, without concern for rules or formality, gained him sympathy from the masses, and in the Edo Period became the basis for collections of witty stories such as "Ikkyuu's Sayings".
一休は能筆で知られる。	IKKYUU was known as a skilled calligrapher.
一休が村田珠光の師であるという伝承があり、茶人の間で墨蹟が極めて珍重された。	It is said that IKKYUU was Jukou MURATA's teacher, and his writings were prized most highly among practitioners of the tea ceremony.
（なお、珠光の師という説は現在の研究ではやや疑わしいとされる。)	(Recent research has cast doubt upon the tales of IKKYUU being Jukou's teacher.)
著書（詩集）は「狂雲集」、「続狂雲集」、「自戒集」、「骸骨」など。	His writings (poetry collections) include "Kyouunshuu", "Kyouunshuu Continued", "Jikaishuu", and "Skeleton".
東山文化を代表する人物でもある。	He is representative of the Higashiyama culture.
足利義政とその夫人日野富子の幕政を批判したことも知られる。	He is known to have criticized the shogunate of Yoshimasa ASHIKAGA and his wife Tomiko HINO.
門松は冥土の旅の一里塚めでたくもありめでたくもなし（狂雲集）	The New Year's decorative pine trees are a milestone on the journey toward death; they are both happy and unhappy. (Kyouunshuu)
釈迦といふいたづらものが世にいでておほくの人をまよはすかな	The Buddha is mischievous, come to this world to lead many people astray.
秋風一夜百千年(秋風のなかあなたと共にいる。	Akikaze Ichiya Hyakusennen (One night together with you in the autumn breeze.
それは百年にも千年の歳月にも値するものだ。)	That is worth a hundred or a thousand years.)
花は桜木、人は武士、柱は桧、魚は鯛、小袖はもみじ、花はみよしの	In flowers, the cherry tree; in men, the samurai; in trees, the cypress; in fish, the sea bream; in kimono, the maple-leaf pattern; in flowers, Miyoshino (the cherry tree of the Yoshino district of Nara Prefecture).
女をば法の御蔵と云うぞ実に釈迦も達磨もひょいひょいと生む	Woman is the storehouse of the dharma; she bears Buddha and Bodhidharma alike.
なお、アントニオ猪木らによって、『一休の言葉』として流布されていた「この道を行けばどうなるものか・・・」に始まる言葉は実際には一休の言葉ではなく、文言に多少の相違はあるものの、もとは清沢哲夫の「道」という詩であったと見られる。	According to Antonio INOKI and others, the words attributed to IKKYUU that begin with "what will happen if I go down this path..." are not actually his words, but are actually from Tetsuo KIYOZAWA's poem "The Path"; although there is some confusion about the source.
（『無常断章』に収録；一部、抜け・間違いあり）。	(compiled in "Mujoudanshou" with some omissions and errors)
「一休乱世に生きた禅者」（市川白弦著.--東京日本放送出版協会,1970年12月--(NHKブックス132)）	"Ikyuu: A Zen Monk in Troubled Times" (Hakugen ICHIKAWA, NHK Publishing, December 1970 – (NHK Books 132))
「一休「狂雲集」の世界」（柳田聖山著.--京都人文書院,1980年8月）	"Ikyuu: The World of Kyouunshuu" (Seizan YANAGIDA, Kyoto Jinbunshoin, August 1980)
「一休」（水上勉著.--改版.--東京中央公論社,1997年5月--(中公文庫)）	"Ikkyuu" (2nd Edition, Tsutomu MIZUKAMI, Tokyo Chuou Kouronsha, May 1997 (Chuukoubunko))
「一休その破戒と風狂」（栗田勇著.--東京祥伝社,2005年11月）ISBN4396612567	"Ikkyuu: Breaking Rules and Madness" (Isamu KURITA, Tokyo Shoudensha, November 2005) ISBN 4396612567
漫画	Comics
『あっかんべェ一休』坂口尚	"Akkanbee Ikkyuu" by Hisashi SAKAGUCHI
アニメ	Cartoons
『一休さん』（1975年10月15日-1982年6月28日、東映動画(現東映アニメーション)制作、日本教育テレビ(現テレビ朝日)系列で放送）	"Ikkyuu-san" 10/15/1975 – 6/28/1982 Produced by Touei Moving Pictures (now Touei Animation); Broadcasted by Japan Educational Television (now Asahi Television)
『R.O.D-READORDIE-』（2001年から2002年にかけて発売されたOVA作品。	"R.O.D.: Read or Die" (An OVA series sold from 2001 to -2002.
全3巻。	3 episodes.
スタジオオルフェ/ANIPLEX製作）	Produced by Studio Orphee/ANIPLEX)
小説	Novels
『とんち探偵一休さん金閣寺に密室（ひそかむろ）』（鯨統一郎）	"Witty Detective Ikkyuu-san: The Secret Room in Kinkakuji" (Touichirou KUJIRA)
『とんち探偵一休さん謎解き道中』（鯨統一郎）	"Witty Detective Ikkyuu-san: Solving Riddles on the Road" (Touichirou KUJIRA)
『一休暗夜行』（朝松健）	"Ikkyuu: Dark Nights" (Ken ASAMATSU)
『一休闇物語』（朝松健）	"Ikkyuu: Dark Things" (Ken ASAMATSU)
『一休虚月行』（朝松健）	"Ikkyuu: Crescent Moon" (Ken ASAMATSU)
『一休破軍行』（朝松健）	"Ikkyuu: Alkaid" (Ken ASAMATSU)
テレビドラマ	Television Dramas
『花の乱』（1994年、一休宗純：奥田瑛二）	"War of the Flowers" (1994, Soujun IKKYUU played by Eiji OKUDA)
テレビバラエティー	Television Variety Shows
『日本史サスペンス劇場』（2008年、一休宗純：加藤茶）	"Japanese History Suspense Theater" (2008, Soujun IKKYUU played by Cha KATOU)
伝記	Biography
幼少期は頓知小僧で、青年期に厳しい修行を積んで名僧となったという逸話が多い。	Many stories recall that he was a quick-witted little monk in his childhood, and made a name for himself by doing difficult training in his youth.
子供向けの物語では、特にこの傾向が強い。	This aspect is especially emphasized in the stories aimed at children.
また、幼少期の逸話には、頓知で和尚や足利義満をやり込める話が添えられることが多い。	Many of the stories feature him as a child getting one over on a priest or Yoshimitsu ASHIKAGA with his witty remarks.
これは『一休咄』と史実の一休宗純を一つの物語にしており、幼少期については史実から遠いと言えるが、青年期以降のエピソードのみでは堅い話となるので、親しみを持たせるためにこのようにしたと思われる。	Such stories combine elements from "Ikkyuu's Sayings" with the real Soujun IKKYUU; and as far as his childhood goes, is far from historically accurate; it is probably done to get readers involved in the story, as it only gets into more difficult reading in the episodes from his youth onward.
なお、幼少期の一休の名前や、寺の名前、生まれについては明示するものとしないものがある。	Some accounts do not explicitly state the child IKKYUU's name or birth, or the names of temples.
『一休咄』	"Ikkyuu's Sayings"
「一休さんの頓知話」として知られる『一休咄』は、一休の遷化から200年余り後の元禄年間（江戸時代前期）に世に現れた。	Known as "Ikkyuu-san's Witty Stories", these appeared in the Genroku Period (the first half year of the Edo era), over 200 years after IKKYUU's death.
作者は不明である。	The author is unknown.
『一休咄』は、一休の事績の他に、一休になぞらえた民間説話や登場人物を他の高僧から一休に置き換えた伝説が数多く含むため、史実とは言い難い。	Because "Ikkyuu's Sayings" includes, in addition to IKKYUU's deeds, many characters and folk stories in which IKKYUU has been substituted for other monks, it cannot be called historically accurate.
民衆の願いを歴史上の人物に仮託した読物である。	It is a book in which a historical figure has been imbued with the people's desires.
『一休咄』は、現在も子ども向けの読物として親しまれており、これを翻案したTVアニメ『一休さん』も製作された。	"Ikkyuu's Sayings" is beloved today as a children's book; and there has been a television cartoon adaptation, "Ikkyuu-san".
この物語を通じて、歴史の授業以前に、一休の名はもとより、足利義満や鹿苑寺など室町時代についての知識を得た人は多い。	Through this story, many children have learned about Yoshimitsu ASHIKAGA, Rokuonji, and the Muromachi Period before ever going to history class.
阿弥陀三尊(あみださんぞん)は、仏教における仏像安置形式の一つ。	Amida triad is one style to place a Buddhist image in Buddhism.
阿弥陀如来を中尊とし、観音菩薩を左脇侍、勢至菩薩を右脇侍とする三尊形式である。	It is a triad style and consists of Amida-Nyorai, i.e., Amitabha Buddha at the center and two attendants, Kannon-Bosatsu, i.e., Avalokitesvara Bodhisattva on the left and Seishi-Bosatsu, i.e., Mahasthamaprapta Bodhisattva on the right.
（なお、この場合の「左」「右」とは中尊から見た「左」「右」を指す。)	(The "left"or "right" in this case is the direction seen from Amida-Nyorai.)
観音菩薩は阿弥陀如来の慈悲をあらわす化身であり、勢至菩薩は知恵をあらわす化身とされる。	Kannon-Bosatsu is said to be the embodiment of the Amida's mercy and Seishi-Bosatsu is that of the Amida's wisdom.
脇侍の観音菩薩は、宝冠の上に阿弥陀の化仏を表すし、勢至菩薩は水瓶を持つので、両脇侍は比較的区別がつけやすい。	The Kannon's crown displays kebustu, a small image of Amida, while the Seishi has suihei, a small water bottle, so you can tell one from the other with ease relatively.
日本では、法隆寺献納宝物・四十八体仏（東京国立博物館蔵）中の銅造阿弥陀三尊像（重文）、法隆寺の橘夫人厨子内に安置の銅造阿弥陀三尊像（国宝）などが古い作例である。	In Japan, ancient examples are: The Amida triad made of bronze owned by the Tokyo National Museum, once dedicated to the Horyuji Temple as one of 48 Buddhist images (important cultural property), and the Amida triad also made of bronze enshrined in the Lady Tachibana's Shrine of Horyuji Temple (national treasure).
中尊を坐像、脇侍を立像（りゅうぞう）とするもの（例：京都・仁和寺像）、中尊・脇侍とも立像とするもの（例：兵庫・浄土寺像）、中尊・脇侍とも坐像とするもの（例：京都・清凉寺像）、中尊は坐像、脇侍は跪坐（ひざまずく）するもの（例：京都・三千院像）など、形式は各種ある。	There are various forms of triads: Amida is seated in the center with statues on both sides standing (e.g. the triad in the Ninnaji Temple in Kyoto), all three statues are standing with Amida in the center (e.g. the triad in the Jodoji Temple in Hyogo), all three statues are seated with Amida in the center(e.g. the triad in the Seiryoji Temple in Kyoto), or Amida seated in the center and the other two statues are kneeling down (e.g. the triad in the Sanzenin Temple in Kyoto).
中尊は坐像、脇侍は跪坐とするものは来迎形式の阿弥陀三尊像であり、この場合、左脇侍の観音菩薩は往生者を迎え取るための蓮台を捧げ持つのが普通である。	The triad with Amida seated at the center and the other two kneeling down on both sides is a form of Raigo, which means inviting the dead spirits to heaven. The left Bodhisattvas Kannon in this triad usually has a rendai, a lotus-flower-shaped pedestal to carry the dead.
また、地蔵菩薩と龍樹菩薩を含めて五尊像とした作例もみられる。	There exists another formation made of 5 statues that includes Jizo-Bosatsu, i.e., Ksitigarbha Bodhisattva, and Ryujyu-Bosatsu, i.e., Naagaarjuna Bodhisattva.
日本における主な作例	Major works in Japan
岩手・中尊寺金色堂像（国宝、中央壇・左壇・右壇の3組、平安時代）	The triad in Konjikido of the Tyusonji Temple in Iwate (Three-statue composition, the center one and the two on both sides, made during the Heian period and now are national treasures.)
京都・清凉寺像（国宝、平安時代）	The triad in the Seiryoji Temple in Kyoto (national treasures, made during the Heian period)
京都・仁和寺像（国宝、平安時代）	The triad in the Ninnaji Temple in Kyoto (national treasures, made during the Heian period)
京都・三千院像（国宝、平安時代）	The triad in the Sanzenin Temple in Kyoto (national treasures, made during the Heian period)
兵庫・浄土寺(小野市)像（国宝、鎌倉時代、快慶作、浄土堂安置）	The triad in the Jodoji Temple in Ono city, Hyogo (national treasures, made by KAIKEI during the Kamakura period, placed in Jododo)
奈良・法隆寺像（国宝、伝・橘夫人念持仏、奈良時代）	The triad in the Horyuji Temple in Nara (national treasures, said to be the Buddhist image the Lady Tachibana had, made during the Nara period)
関連項目善光寺式阿弥陀三尊	Reference: Amida triad in a Zenkouji style
親鸞（しんらん）は、鎌倉時代初期の日本の僧。	Shinran was a Japanese Buddhist monk in the early Kamakura period.
浄土真宗の開祖（宗祖）とされる。浄土真宗の開祖（宗祖）と定めたのは、本願寺三世覚如である。	He is recognized as the founder of Jodo Shinshu, or Shin Buddhism.
明治9年（1876年）11月28日に明治天皇より「見真大師（けんしんだいし）」の諡を追贈されている。	On November 28th, 1876, Shinran was given the posthumous Buddhist name Kenshin Daishi by Emperor Meiji.
親鸞は、法然（浄土宗開祖）を師と仰いでからの生涯に渡り、「真の宗教である浄土宗の教え」を継承し、さらに高めて行く事に力を注いだ。	After Shinran met Honen (the founder of Jodo Shu) and became his disciple, he inherited 'the discipline of the true religion, Jodo Shu', making all efforts to enhance it.
自らが開宗する意志は無かったと考えられる。	He doesn't seem to have intended to establish his own sect.
独自の寺院を持つ事はせず、各地につつましい念仏道場を設けて教化する形であった。	He didn't possess his own temple, but constructed meeting places called Nenbutsu Dojo in various provinces to spread the teaching of Jodo Shinshu.
親鸞の念仏集団の隆盛が、既成の仏教教団や浄土宗他派からの攻撃を受けるなどする中で、宗派としての教義の相違が明確となって、親鸞の没後に宗旨として確立される事になる。	While Shinran's nenbutsu group was censured by the Buddhist establishment and the other sects of Jodo Shu, a distinctive character of his discipline became clear, so his followers established a new sect, Jodo Shinshu, after his death.
浄土真宗の立教開宗の年は、『顕浄土真実教行証文類』（教行信証）が完成した寛元5年（1247年）とされるが、定められたのは親鸞の没後である。	Jodo Shinshu is considered to have been founded in 1247, when Shinran finished writing "Kenjodo shinjitsu kyogyo shomonrui" (Kyogyo shinsho), but in reality it was after Shinran's death that Jodo Shinshu was officially recognized.
